Address;Price;Beds;Baths;Sizes
3969 S Centinela Ave, Los Angeles, CA 90066;$1,100,000;2;2;1,179sqft
12720 Burbank Blvd Unit 307, Valley Village, CA 91607;$449,000;1;1;785sqft
4301 Fulton Ave Apt 304, Sherman Oaks, CA 91423;$1,100,000;2;2.5;1,659sqft
4955 Corbin Ave, Tarzana, CA 91356;$3,495,000;5;3.5;3,981sqft
1778 S Fairfax Ave, Los Angeles, CA 90019;$1,595,000;3;2;1,623sqft
127 S Avenue 55, Los Angeles, CA 90042;$999,999;3;2;1,544sqft
11943 Foxboro Dr, Los Angeles, CA 90049;$2,850,000;2;2;2,072sqft
S Ave, Los Angeles, CA 90016;$1,600,000;3;2;1,326sqft
11745 Courtleigh Dr, Los Angeles, CA 90066;$4,250,000;13;12;6,656sqft
2728 Aqua Verde Cir, Los Angeles, CA 90077;$3,950,000;5;4.5;4,108sqft
609 Broadway St, Venice, CA 90291;$5,995,000;7;5.5;5,972sqft
3627 Loosmore St, Los Angeles, CA 90065;$1,300,000;3;2.5;1,664sqft
1315 Woodruff Ave, Los Angeles, CA 90024;$3,500,000;3;2.5;The squareFeet cannot be shown
15930 Woodvale Rd, Encino, CA 91436;$25,000,000;8;9.5;21,097sqft
300 Stone Canyon Rd, Los Angeles, CA 90077;$59,000,000;8;9.5;17,600sqft
1621 N Kingsley Dr, Los Angeles, CA 90027;$1,150,000;5;5;3,078sqft
15928 Devonshire St, Granada Hills, CA 91344;$875,000;3;2;2,028sqft
6455 Woodlake Ave, West Hills, CA 91307;$895,000;4;2;1,448sqft
10936 Odell Ave, Sunland, CA 91040;$950,000;3;3;1,727sqft
1429 1/2 Waterloo St, Los Angeles, CA 90026;$1,299,000;3;3;1,954sqft
1367 W 26th Pl, San Pedro, CA 90732;$895,000;3;1;965sqft
13029 Mindanao Way Unit 5, Marina del Rey, CA 90292;$1,250,000;3;2.5;1,645sqft
136 E 118th Pl, Los Angeles, CA 90061;$699,000;4;2;1,564sqft
7642 Wish Ave, Lake Balboa, CA 91406;$824,900;3;1;1,073sqft
204-206 E 53rd St, Los Angeles, CA 90011;$1,325,000;10;6;3,715sqft
1162 Rockdale Ave, Eagle Rock, CA 90041;$1,299,000;5;5;1,470sqft
8491 Harold Way, Los Angeles, CA 90069;$2,365,000;3;1.5;1,490sqft
11628 Chenault St Apt 104, Los Angeles, CA 90049;$1,649,000;2;2.5;2,589sqft
8050 Lindley Ave, Reseda, CA 91335;$799,000;4;2;1,212sqft
6250 Hollywood Blvd Unit 9N, Los Angeles, CA 90028;$1,075,000;2;3;1,650sqft
1319 S Orange Grove Ave, Los Angeles, CA 90019;$26,395,000;56;57;40,575sqft
9301 Cherokee Ln, Beverly Hills, CA 90210;$13,995,000;7;8.5;10,998sqft
1916 6th Ave, Los Angeles, CA 90018;$1,870,000;10;7;5,577sqft
3957 Olmsted Ave, Los Angeles, CA 90008;$1,499,999;3;2;1,892sqft
5829 Arroyo Dr, Los Angeles, CA 90042;$869,000;3;2;1,236sqft
1506 S Sierra Bonita Ave, Los Angeles, CA 90019;$1,899,000;3;2.5;1,908sqft
969 Hilgard Ave Apt 904, Los Angeles, CA 90024;$750,000;1;1;754sqft
